"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-42","s-52","s-82","s-92"
"82","PLD4",815.140624634952,-3.69913742584657,0.420161745516325,-8.80407953680029,1.31930809879902e-18,2.15594250291547e-16,2009.35962093531,115.148711374596,1018.45896301719,117.595203212715
"83","GAB2",1296.26290252419,-2.12489892736282,0.241418636484071,-8.80171870038301,1.34736564462179e-18,2.17526501661831e-16,2083.0361403696,471.390037189753,2134.72007945432,495.905353083078
"84","SETBP1",11251.5466372326,1.87449366865062,0.215444861524009,8.70057264485619,3.30213586008284e-18,5.26769291965597e-16,4536.68749971171,15961.7704348573,5104.52008426345,19403.208530098
"85","RNASE6",323.757708807737,-4.72342329322782,0.545294054015686,-8.66215807497498,4.62915822106487e-18,7.29773178379638e-16,801.511226573083,29.5068572897403,446.692527639119,17.3202237290046
"86","SCARB1",1234.19587052979,2.30762102521644,0.266613224706606,8.65531343299215,4.91558944238425e-18,7.65917424743592e-16,444.291738406806,2190.70423390169,387.446992394352,1914.34051741629
"87","S1PR1",7888.98383571007,-2.22430748182355,0.257432465003943,-8.64035342935275,5.6039391182377e-18,8.63135450395233e-16,11658.7510450269,3209.77032956687,14334.5983132697,2352.81565497688
"88","DFNB31",878.747167161608,-3.93262120991292,0.455729487424304,-8.62928846702315,6.17348122424501e-18,9.40052822782764e-16,2288.43734606521,114.429031928505,1010.93572044643,101.18657020629
"89","PBXIP1",2475.34524348586,-1.93499710462758,0.22575855918873,-8.57109077760353,1.02509398580244e-17,1.54339993368009e-15,4009.78875466645,947.098151056054,3838.73452173239,1105.75954648855
"90","LOC100129550",388.243362304776,-3.31356041571147,0.388064173178542,-8.53869190904916,1.3574978958075e-17,2.02116353375783e-15,678.717027515925,80.6040979622174,732.575745328156,61.0765784128056
"91","SKIL",11488.562001119,-1.63935535713835,0.192533564885254,-8.51464708564128,1.67098407887166e-17,2.46056996229453e-15,18066.3756140094,5286.76521098615,16721.3470188446,5879.76016063576
"92","TCL6",265.404575927324,-3.92657062672399,0.461951700734065,-8.49995923921152,1.89657280418601e-17,2.7623995191405e-15,430.896007600571,34.5446134123789,565.183598128654,30.9940845676924
"93","LCP1",54652.653889822,1.47041779989754,0.174479021302829,8.42747620268602,3.53200079776315e-17,5.049005607679e-15,28162.2913983088,81012.8758875972,29807.0870653674,79628.3612080146
