"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"CTBP1-AS",3.16360305696816,-0.210035925131142,-0.26959601126248,-0.343307797463603,-0.367295767659835,-0.262639002699285,-0.330580430747499,-0.0586638944928713,-0.367295767659835,-0.320789839656144,-0.347834871903175,-0.285563748292291
"LOC100128593",3.0151614218449,-0.359953748364111,-0.0810059747662517,0.163367976135573,0.177147283390872,-0.597473094611553,-0.597473094611553,-0.519782100768708,-0.597473094611553,-0.597473094611553,0.0883636738497103,-0.0934061528757734
"CACNG4",3.17526990885072,-0.263509788864418,-0.293254733522206,-0.293254733522206,-0.272467518286447,-0.293254733522206,-0.293254733522206,-0.293254733522206,-0.293254733522206,-0.293254733522206,-0.293254733522206,-0.293254733522206
"FDPSP2",3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813
"TTTY20",3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813
"OCM",3.12528274815047,-0.135265908150156,-0.0520449247499044,-0.42606591239094,0.0354584674181161,-0.250046130804597,-0.478407803539512,-0.334099971219496,-0.13663587833261,-0.478407803539512,-0.435944015273307,-0.433822867568554
"SLC6A12",2.62158092337421,-0.251850901222757,1.52875779720588,-0.461768747325069,-0.388240018360177,-0.427905780314685,-0.507212990699395,-0.423685754561933,-0.507212990699395,-0.507212990699395,-0.322873574772702,-0.352374971924584
"THRA1/BTR",3.17362908454704,-0.29915008771009,-0.29915008771009,-0.182128207446148,-0.29915008771009,-0.29915008771009,-0.29915008771009,-0.29915008771009,-0.29915008771009,-0.29915008771009,-0.29915008771009,-0.29915008771009
"TMPRSS3",-0.67073295925027,-0.451082199533466,-0.288642331147619,-0.67073295925027,-0.640032430663235,-0.67073295925027,1.69848145719982,2.26059601451944,0.630971265678371,-0.170567250390357,-0.556569534120625,-0.47095611379152
"ZMYND15",3.10044709727899,-0.176291213516503,-0.0274657569250931,-0.451193935907411,-0.120607881476304,-0.20277995236878,-0.535326222657429,-0.391144040574909,0.173340328923291,-0.491148952444915,-0.441966087286301,-0.435863383044636
"ADGRD1",-0.970008826005095,1.33977086936796,0.369306937075208,-0.970008826005095,0.859402524089446,-0.396134498398482,1.88209074883771,0.742488512143449,-0.880542679212607,-0.438737265488126,-0.614302931242477,-0.923324565161883
"SLC8A1",-0.820198352334644,-0.820198352334644,-0.620795980128137,-0.803878768274496,-0.788154864334703,-0.820198352334644,-0.220718841093685,1.65444301354501,1.49749151335678,-0.345612094008416,1.07307991119329,1.01474116674828
"GIMAP8",0.861220503292554,0.16393283563231,2.26871011892243,-0.427924820170127,0.545665384804277,0.603005215255927,-1.04817841871484,-0.794325132366784,0.369644200282558,-1.0328072739752,-1.04471430375827,-0.464228309204828
"SFTPB",3.16662189816041,-0.287452997995088,-0.248043871525338,-0.321009207584242,-0.0630513679660489,-0.321009207584242,-0.321009207584242,-0.321009207584242,-0.321009207584242,-0.321009207584242,-0.321009207584242,-0.321009207584242
"CHRDL1",-0.676305295190412,-0.676305295190412,-0.676305295190412,-0.676305295190412,-0.676305295190412,-0.676305295190412,-0.550348856667401,1.3845718361654,1.708163789012,-0.217615563099053,1.75219792002017,-0.0191373542886416
"LINC01478",-0.774143987530373,-0.774143987530373,-0.774143987530373,-0.774143987530373,-0.743366900357174,-0.774143987530373,-0.126383284230865,0.34945323648186,1.22166237429727,-0.181565007462522,1.38129554900555,1.96962396991775
"ACTRT3",-0.884488832667064,-0.740780794409875,-0.103284293016771,-0.731043117710914,-0.532983228990467,-0.616702404836801,2.28611916500057,0.173144834086736,0.117451224608523,1.71853193133164,-0.324297216874727,-0.361667266520846
"PLAC4",3.17477711745169,-0.299569446280135,-0.299569446280135,-0.299569446280135,-0.275010038503785,-0.23408438421446,-0.299569446280135,-0.299569446280135,-0.299569446280135,-0.299569446280135,-0.269127124492362,-0.299569446280135
"SHBG",3.16586483580452,-0.348287675752358,-0.348287675752358,-0.348287675752358,-0.199242951048366,-0.282052344559498,-0.348287675752358,-0.278527888182581,-0.348287675752358,-0.348287675752358,-0.194332162671332,-0.121983434828597
"TMEM184A",3.16890992745865,-0.355747305332679,-0.355747305332679,-0.220781384992539,-0.267412152653932,-0.237979136645016,-0.355747305332679,-0.23171256009661,-0.355747305332679,-0.355747305332679,-0.191505123629421,-0.240783042777738
"MIR1282",3.15368102800763,-0.19820300182745,-0.367649576034772,-0.325843021809472,-0.359445515743981,-0.359449289454384,-0.385581418883411,0.0314444100467018,-0.373349171676927,-0.23228209526589,-0.259042545525748,-0.324279801832295
"SNORD116-2",3.12826315503921,0.0116683450837207,0.0169762026805033,-0.395647242088912,-0.169530704763703,-0.229657880336616,-0.495322530360546,-0.388187433186564,-0.509380433088006,-0.359112712537575,-0.35487884569777,-0.25518992074374
"MOB3C",-0.808569580180518,-0.815607317586114,-0.798563434272227,-0.798631970371615,-0.806920850933533,-0.811446122257824,-0.348795210743079,1.01564960685624,1.69745452384356,0.00447953152786388,1.3008365189371,1.17011430518014
"PALLD",-0.742376395466819,-0.746245949442041,-0.754601938785855,-0.731722430471017,-0.733035886405605,-0.744002550454878,-0.576855972991242,1.18947751522608,1.3882256447141,-0.201218771767569,1.80757941104088,0.844777324803971
"FCER2",-0.901390778322586,-0.915563183203121,-0.895075980846053,-0.940691538729293,-0.934790095499032,-0.974957965252489,0.518861031012832,1.31335681415338,0.769791746082322,0.57434050815009,1.38728812271275,0.9988313197412
"QSOX1",-0.81892690525939,-0.791505251592594,-0.783556439332756,-0.812791734594395,-0.811302087850593,-0.768281719379894,-0.18173562174476,1.3415218507306,0.510519965291664,0.166591552814829,2.07015367579594,0.879312715121359
"CABLES1",-0.142462476645511,0.813241426724855,0.651452193382831,0.485717531473862,0.865430832323969,2.21617158293639,-0.807763154872951,-0.860235504732853,-0.845305678757951,-0.724466972987294,-0.853957584787062,-0.797822194058288
"LMO2",-0.775828654772183,-0.714200800928871,-0.780643969722837,-0.757485001016155,-0.692731678230565,-0.729070751149478,-0.454412488356699,1.51188845526678,0.92952057400643,-0.273748408791319,1.87695978121011,0.859752942484787
"DHRS9",-0.650757874273674,-0.677055228059927,-0.682497040222863,-0.696181324760561,-0.68073046931654,-0.676488772618446,-0.61608707256566,1.29354919533221,1.1955932388623,-0.59611347973048,1.90619100744425,0.880577819909383
"GAS6",-0.649034847588874,-0.801315804760596,-0.78804984270887,-0.812792717611922,-0.810819689613525,-0.800840501059232,-0.280443006582916,0.974107068947679,0.532828095246036,0.0540116428291748,2.0922469879523,1.29010261495075
